ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Type_of_order,Type_of_vehicle,Distance,Time_taken(min)
A1B8,BANGRES11DEL03,32,4.8,12.934365,77.616155,13.024365,77.706155,Drinks ,2,13.97317756157655,20
9334,MYSRES16DEL02,21,4.9,12.316967,76.603067,12.366967,76.653067,Meal ,2,7.772343594464243,24
AAFD,CHENRES07DEL02,30,5.0,13.081878,80.248519,13.101878,80.268519,Buffet ,3,3.104463374954771,15
557A,HYDRES14DEL03,20,4.8,17.426228,78.407495,17.516228,78.497495,Meal ,3,13.830206237242956,39
6D3E,INDORES02DEL01,24,4.8,22.651847,75.881991,22.721847,75.951991,Buffet ,3,10.590448391072325,13
CE4B,GOARES13DEL02,39,4.8,15.506205,73.766668,15.636205,73.896668,Snack ,2,20.071289622813055,20
34C2,COIMBRES18DEL02,37,4.6,11.02091,76.940432,11.07091,76.990432,Snack ,2,7.790177003822013,30
A2EF,MUMRES01DEL01,31,4.2,19.12663,72.829976,19.16663,72.869976,Buffet ,2,6.1186308844114,41
9AC1,INDORES03DEL02,39,4.2,22.751857,75.866699,22.771857,75.886699,Drinks ,2,3.0250799873147036,32
AF5C,PUNERES20DEL02,23,4.6,18.592718,73.773572,18.672718,73.853572,Buffet ,2,12.25501434480783,21
2552,PUNERES12DEL02,35,4.6,18.520016,73.830547,18.650016,73.960547,Drinks ,2,19.917038235830073,22
3CD6,SURRES08DEL02,29,4.9,21.173343,72.792731,21.253343,72.872731,Meal ,3,12.161517993712033,20
69EA,HYDRES18DEL02,24,4.9,17.450851,78.379347,17.470851,78.399347,Snack ,3,3.073462803868858,11
6000000000000000578799285889800569438076928,SURRES010DEL02,35,4.7,21.17106,72.789292,21.30106,72.919292,Snack ,3,19.761050003538962,17
DE4,BANGRES07DEL03,29,4.6,12.978453,77.643685,13.038453,77.703685,Snack ,3,9.314920531574971,17
5FCE,COIMBRES19DEL02,34,4.7,11.022298,76.998349,11.042298,77.018349,Meal ,3,3.1161417126181274,10
79B5,COIMBRES010DEL02,23,4.5,11.003008,76.97544,11.083009,77.05544,Snack ,3,12.464422665211348,24
8D3B,INDORES19DEL01,25,4.9,22.745536,75.893106,22.815536,75.963106,Snack ,3,10.587113705075847,17
9EF,MUMRES08DEL02,29,4.1,19.065838,72.832658,19.195838,72.962658,Buffet ,1,19.886444745109216,32
D107,LUDHRES03DEL01,28,4.9,30.88722,75.804893,30.99722,75.914893,Snack ,2,16.114084227696686,30
7BC1,BANGRES08DEL02,34,4.6,12.906229,77.596791,12.956229,77.646791,Buffet ,3,7.763607607839511,16
8FA5,CHENRES01DEL02,21,4.9,13.005801,80.250744,13.055801,80.300744,Meal ,3,7.762092914972186,26
E14F,KOLRES07DEL01,26,4.9,22.547186,88.35068,22.657186,88.46068,Buffet ,3,16.646851348387585,27
9CE0,RANCHIRES07DEL01,38,4.3,23.359407,85.325055,23.399407,85.365055,Meal ,2,6.037440799484659,31
27AB,RANCHIRES15DEL03,33,4.7,23.369746,85.33982,23.399746,85.36982,Meal ,2,4.5279972125744,16
9AD9,PUNERES12DEL02,36,4.6,18.520016,73.830547,18.650016,73.960547,Buffet ,2,19.917038235830073,45
7F3A,CHENRES010DEL01,31,4.8,13.066762,80.251865,13.176762,80.361865,Buffet ,2,17.073537690614117,42
475E,PUNERES16DEL03,27,4.6,18.536718,73.830327,18.626718,73.920327,Buffet ,2,13.7888461168452,46
C30,INDORES19DEL03,30,4.2,22.745536,75.893106,22.805536,75.953106,Meal ,2,9.074821802568852,42
55B3,INDORES06DEL02,27,4.7,22.728163,75.884212,22.748163,75.904212,Meal ,3,3.0253210909321173,11
2528,CHENRES04DEL03,31,5.0,13.02978,80.208812,13.08978,80.268812,Snack ,2,9.31397992220267,28
7ACF,PUNERES13DEL02,24,4.8,18.56245,73.916619,18.69245,74.046619,Drinks ,2,19.914688541860013,22
E269,AURGRES04DEL03,26,4.1,19.876106,75.340775,19.906106,75.370775,Snack ,2,4.579040250041773,33
DEAF,LUDHRES010DEL03,33,4.2,30.89286,75.822199,30.98286,75.912199,Meal ,2,13.18450630215938,36
98D4,CHENRES18DEL02,21,5.0,12.981615,80.231598,13.001615,80.251598,Snack ,3,3.1050761845074675,11
DEAA,DEHRES010DEL02,32,4.3,30.328174,78.049117,30.458174,78.179117,Buffet ,2,19.089989308949036,43
6A35,INDORES18DEL02,30,4.5,22.753839,75.897429,22.773839,75.917429,Snack ,2,3.025059809277375,22
42C4,SURRES010DEL01,25,4.4,21.17106,72.789292,21.21106,72.829292,Snack ,3,6.081185877714607,32
1547,HYDRES19DEL01,29,4.7,17.458998,78.500366,17.568998,78.610366,Buffet ,3,16.901690663165983,21
60FF,HYDRES06DEL02,26,4.6,17.455894,78.375467,17.535894,78.455467,Meal ,2,12.292722741488559,19
9811,INDORES13DEL01,35,4.6,22.745049,75.892471,22.855049,76.002471,Snack ,3,16.63579806090435,29
B2B3,RANCHIRES06DEL03,32,4.7,23.357804,85.325146,23.387804,85.355146,Drinks ,2,4.528183776759067,25
20F0,MYSRES010DEL02,21,4.8,12.321214,76.621094,12.401214,76.701094,Drinks ,2,12.435302723482724,30
44C2,PUNERES05DEL01,34,4.4,18.543626,73.905101,18.553626,73.915101,Drinks ,2,1.532234790495708,35
34C8,HYDRES02DEL03,30,4.7,17.41233,78.449654,17.50233,78.539654,Drinks ,3,13.830709083522443,21
97FC,SURRES11DEL01,20,4.8,21.157735,72.768778,21.167735,72.778778,Meal ,1,1.5204319193295497,11
99DB,RANCHIRES06DEL02,34,4.6,23.357804,85.325146,23.377804,85.345146,Meal ,2,3.018841258628892,29
C8FB,AGRRES14DEL02,21,4.7,27.16185,78.040165,27.18185,78.060165,Buffet ,2,2.9765873017465116,10
6B1B,CHENRES07DEL02,30,4.8,13.081878,80.248519,13.131878,80.298519,Meal ,3,7.760928146685042,23
277C,JAPRES20DEL03,22,4.5,26.956431,75.776649,26.986431,75.806649,Snack ,2,4.4684124412647535,25
3033,MUMRES12DEL01,33,4.2,19.207222,72.972281,19.277222,73.042281,Buffet ,2,10.704672233866505,54
50C2,INDORES17DEL03,35,5.0,22.761226,75.887522,22.821226,75.947522,Drinks ,2,9.07434222926449,27
AB19,PUNERES19DEL01,39,4.0,18.563934,73.915367,18.673935,74.025367,Buffet ,2,16.851371030914212,43
